SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH_DIST,NEAREST_SCH_RANK,YEAR_SOLD,MONTH_SOLD,Price/land
Clarkson,374551.9588235294,3.6411764705882352,1.8764705882352941,1.9390243902439024,967.2058823529412,158.5529411764706,2003.447204968944,32309.41176470588,1530.9176470588236,6030.0,-31.68503973452941,115.72564090941177,0.6963919993941177,118.0,2019.2470588235294,7.6117647058823525,815.8845501409802
Cloverdale,438314.28571428574,3.3142857142857145,1.6857142857142857,2.590909090909091,659.3,142.88571428571427,1985.7205882352941,8300.0,4515.714285714285,6105.0,-31.961813319999997,115.94573356428572,1.2680871027842857,62.142857142857146,2018.0857142857142,7.0,783.1592448267392
Cockburn Central,492742.42424242425,3.1818181818181817,1.9696969696969697,1.84375,1185.3030303030303,151.66666666666666,2003.3939393939395,19427.272727272728,850.2424242424242,6164.0,-32.12643537272728,115.84965283636365,0.9396710406878788,58.0,2016.5151515151515,6.666666666666667,1047.3309984972218
Como,977760.8333333334,3.566666666666667,1.95,2.2758620689655173,728.3666666666667,189.0,1983.844827586207,5128.333333333333,1802.25,6152.0,-31.997369736,115.86610356166666,0.9414748161366667,31.5,2019.4333333333334,7.6,1766.2586864039035
Connolly,705674.0,3.976,2.104,2.2184873949579833,990.352,220.064,1992.017094017094,24886.4,1770.232,6027.0,-31.7485756072,115.750373212,1.1799620198144,69.072,2016.712,6.4,1068.3296146121463
Coogee,790131.2977099237,3.954198473282443,2.1526717557251906,2.72,670.6030534351145,240.57251908396947,1996.8,20308.396946564884,7719.847328244275,6166.0,-32.11902449984733,115.77200973435114,4.048032222748091,,2017.496183206107,6.572519083969466,1246.9151950107896
Coolbellup,477543.47826086957,3.282608695652174,1.391304347826087,2.0602409638554215,646.554347826087,129.5326086956522,1978.1136363636363,15147.826086956522,4486.95652173913,6163.0,-32.08066494152174,115.80629081739131,0.9331978452369565,91.0,2017.3478260869565,6.391304347826087,827.8410027648454
Coolbinia,1139132.6241134752,3.4609929078014185,1.822695035460993,2.0808823529411766,767.6524822695036,236.18439716312056,1968.5547445255474,4241.843971631206,2911.3475177304963,6050.0,-31.914439169787233,115.85353861560284,1.505044905609929,53.1063829787234,2013.5390070921985,6.75177304964539,1591.3080937248176
Cooloongup,287516.2878787879,3.5454545454545454,1.446969696969697,1.819672131147541,726.060606060606,138.28787878787878,1986.9538461538461,39328.78787878788,1022.1590909090909,6168.0,-32.295783645757574,115.75984849545455,1.5499782002045457,112.74311926605505,2018.1969696969697,7.03030303030303,422.40064374727
Cottesloe,1646283.3333333333,3.3043478260869565,2.0434782608695654,1.890625,622.6521739130435,187.5072463768116,1968.6521739130435,10357.971014492754,502.94202898550725,6011.0,-31.992449803913047,115.76015221014492,0.8105651389057971,11.782608695652174,2018.4347826086957,6.869565217391305,3685.5938652408986
