Suburb,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,Cluster group
Midvale,1.0,0.0,0.0,0.0,0.0,cluster-1
Millendon,1.0,0.0,0.0,0.0,0.0,cluster-1
Mindarie,0.0,0.0,0.9660194174757282,0.0,0.03398058252427184,cluster-3
Mirrabooka,0.0,0.0,0.0,1.0,0.0,cluster-4
Morley,0.0,0.0,0.0,1.0,0.0,cluster-4
Mosman Park,0.0,0.0,0.0,0.13402061855670103,0.865979381443299,cluster-5
Mount Claremont,0.0,0.0,0.0,0.13178294573643412,0.8682170542635659,cluster-5
Mount Hawthorn,0.0,0.0,0.0,0.5436893203883495,0.4563106796116505,cluster-4
Mount Helena,1.0,0.0,0.0,0.0,0.0,cluster-1
Mount Lawley,0.0,0.0,0.0,0.5333333333333333,0.4666666666666667,cluster-4
Mount Nasura,1.0,0.0,0.0,0.0,0.0,cluster-1
Mount Pleasant,0.0,0.0,0.0,0.39814814814814814,0.6018518518518519,cluster-5
Mount Richon,1.0,0.0,0.0,0.0,0.0,cluster-1
Mullaloo,0.0,0.0,0.015037593984962405,0.8796992481203008,0.10526315789473684,cluster-4
Mundaring,1.0,0.0,0.0,0.0,0.0,cluster-1
Mundijong,1.0,0.0,0.0,0.0,0.0,cluster-1
Murdoch,0.0,0.0,0.0,0.975,0.025,cluster-4
Myaree,0.0,0.0,0.0,0.925531914893617,0.07446808510638298,cluster-4
Nedlands,0.0,0.0,0.0,0.05102040816326531,0.9489795918367347,cluster-5
Nollamara,0.0,0.0,0.0,1.0,0.0,cluster-4
Noranda,0.0,0.0,0.0,1.0,0.0,cluster-4
North Beach,0.0,0.0,0.0,0.5842696629213483,0.4157303370786517,cluster-4
North Coogee,0.0,0.0,0.0,0.28205128205128205,0.717948717948718,cluster-5
North Fremantle,0.0,0.0,0.0,0.38095238095238093,0.6190476190476191,cluster-5
North Lake,0.0,0.0,0.0,1.0,0.0,cluster-4
North Perth,0.0,0.0,0.0,0.7536231884057971,0.2463768115942029,cluster-4
Northbridge,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,cluster-4
O'Connor,0.0,0.0,0.0,1.0,0.0,cluster-4
