SUBURB,avg(PRICE),avg(LAND_AREA),avg(FLOOR_AREA),avg(PROPERTY_AGE),avg(PRICE/FLOOR($/m2)),avg(PRICE/LAND($/m2)),avg(Land/Floor)
Woodvale,645354.9292929292,676.070707070707,205.97979797979798,25.554347826086957,3243.892341467796,984.3043856480871,3.4380642993049486
Herne Hill,603719.5652173914,13164.91304347826,156.41304347826087,38.43478260869565,3928.5758096039963,266.13246618792806,74.01755270543957
Maddington,344360.4651162791,945.5930232558139,136.97674418604652,29.156626506024097,2667.235203603246,600.7227519335904,8.788704797131055
West Leederville,1273288.4615384615,416.96153846153845,183.57692307692307,57.21739130434783,7181.596029414839,3251.9333034887477,2.435461931706009
North Coogee,1160017.0212765958,392.0425531914894,282.17021276595744,6.024390243902439,4315.913645870744,3158.2725376989483,1.4021283360507968
Martin,557137.9310344828,6544.6551724137935,192.22413793103448,27.254545454545454,3229.397525262152,360.33009927347734,33.10068905967418
Ballajura,420807.3768115942,645.036231884058,161.3985507246377,26.68217054263566,2686.575533428382,679.2893545144584,4.19681244364717
Melville,795250.0,576.6603773584906,177.1509433962264,36.44761904761905,4662.19440223096,1566.5344740146845,3.5311537990369244
Kardinya,667850.671641791,676.9850746268656,191.98507462686567,30.8125,3579.88546147669,1054.437714918009,3.6762401577363666
Gnangara,1185533.3333333333,11809.166666666666,279.2,18.03448275862069,4576.901963877105,108.9780422120493,50.16164596602896
Success,530258.7719298246,577.421052631579,198.50877192982455,13.75,2724.1455895535455,949.1364780298402,2.9804807528378925
Crawley,955800.0,335.15,140.9,39.8,6919.196351927884,3848.5879381379127,2.29066219800485
Swan View,435246.05154639174,989.8453608247422,169.71134020618555,33.235955056179776,2710.6566973451595,528.7636602668554,6.017381635229827
Cooloongup,287516.2878787879,676.6439393939394,138.28787878787878,31.223076923076924,2159.271119400076,442.8890697580677,5.179872627364313
Beeliar,536281.1728395062,607.1975308641976,185.72222222222223,13.881118881118882,3037.5438352554925,979.6851197411446,3.410138506595559
Thornlie,405826.7326732673,681.5544554455446,163.1089108910891,31.693877551020407,2570.5706554194076,639.6276335232081,4.545652330712427
Serpentine,651798.319327731,19421.47899159664,199.39495798319328,19.943181818181817,3424.649794567215,136.44997126759966,95.59171071813218
Tuart Hill,533311.1111111111,384.5111111111111,139.04444444444445,28.795454545454547,3986.167772528715,1732.3828756549951,2.891735709181219
Coolbinia,1217831.3953488371,763.0813953488372,229.11627906976744,47.53012048192771,5646.767526430092,1752.5756283571848,3.7545325085121775
Jolimont,1077664.7727272727,433.77272727272725,185.54545454545453,37.54545454545455,6195.151531442749,2882.556174910981,2.512121995011588
Riverton,667357.8842105264,578.0315789473684,168.96842105263158,28.522222222222222,4271.873205697403,1296.8593049979152,3.778859926513844
Baskerville,1273333.3333333333,44847.11111111111,261.8888888888889,23.666666666666668,5182.240609959608,82.41534433074678,195.09324864778657
Osborne Park,499711.1111111111,472.4,127.64444444444445,29.476190476190474,4192.100434811146,1784.6609774050364,4.420666183058364
Cannington,430695.0,506.4761904761905,129.92857142857142,24.746835443037973,3483.514582430517,1213.2807361599941,4.525806228001531
Anketell,1092916.6666666667,22461.0,289.4166666666667,17.416666666666668,4172.270946131167,49.57746336696681,89.01235786737838
The Vines,663317.8125,1755.375,250.35625,15.863013698630137,2737.829161077793,668.0173417452457,6.955487170475854
Craigie,448367.02127659577,767.5106382978723,125.92553191489361,38.10227272727273,3716.5472110560518,729.7965586137741,6.820320898841282
Hopeland,811857.1428571428,139988.7142857143,191.28571428571428,30.142857142857142,4635.507261754613,6.772302292867534,792.4612621037035
Kewdale,515815.29411764705,526.1647058823529,158.3294117647059,27.585365853658537,3452.971261350112,1279.988277143955,3.5866906773001586
Yanchep,398192.3728813559,541.2966101694915,182.78813559322035,11.323529411764707,2205.488787753338,799.9058969470481,3.0423942642835495
Woodlands,1094152.505263158,615.6105263157895,217.68421052631578,29.925531914893618,5350.603752740204,1945.9986730213654,3.0695551011414435
Pearsall,488438.3561643836,483.73972602739724,177.36301369863014,9.264705882352942,2872.374502050278,1107.5018903507917,2.7322232121866064
Shenton Park,1269592.303030303,433.020202020202,174.6060606060606,60.0,7567.933692995867,3103.4666670257734,2.6480560846993977
Rockingham,430631.47191011236,575.5280898876405,170.4943820224719,28.160919540229884,2590.9455198491473,934.9877158375797,3.66373362540682
Churchlands,1313734.8484848484,559.1666666666666,262.43939393939394,18.264462809917354,5232.984399640233,2840.980276173598,2.1833425957858514
Bull Creek,810097.7011494252,690.1034482758621,203.51724137931035,35.16470588235294,4170.490963963686,1221.8875584211414,3.652906392630066
Brookdale,301784.1408450704,562.9507042253521,132.92253521126761,13.3046875,2342.132281942476,572.5591243486689,4.509306569546635
Parkerville,622265.0442477876,8332.362831858407,186.8053097345133,27.601941747572816,3529.2708362673166,201.96468787553334,43.39328879441006
Wanneroo,525354.5611510791,1336.5035971223022,182.13669064748203,27.568,2864.598271724353,694.6656161753746,6.719985442833093
Karawara,714616.911392405,620.5949367088608,184.9367088607595,23.960526315789473,4207.551079438543,1199.416244915828,3.989278699535768
Queens Park,471695.0,495.01,152.13,17.083333333333332,3231.2008081364347,1081.1031189525763,3.494887930799948
Bassendean,546484.1578947369,596.6210526315789,145.34736842105264,40.13333333333333,3825.897249815478,1127.4913162804767,4.12799123105505
Daglish,1089075.4716981133,625.7547169811321,168.83018867924528,55.32692307692308,6873.4701029230955,2113.2179922186297,4.114990577309061
South Lake,439966.1644736842,652.0394736842105,150.6184210526316,24.291970802919707,3160.352826043182,720.7429842151165,4.732632998340817
Inglewood,824133.9130434783,450.90434782608696,161.75652173913045,50.663716814159294,5353.219744023481,2109.721840714539,2.99413459114578
Baldivis,419363.4259259259,1434.148148148148,189.57407407407408,10.717391304347826,2248.3021473912604,757.696316464947,8.060793195934995
Mount Helena,560949.0445859872,10337.649681528663,180.94904458598725,27.37908496732026,3315.366702194453,194.94389813059456,62.69560815282549
Kelmscott,371619.4690265487,1699.1238938053098,154.5486725663717,34.123893805309734,2447.850180192956,542.487421813698,10.99573259413848
Alfred Cove,840086.5666666667,542.25,183.25833333333333,26.76068376068376,4799.624780857619,1698.0187114612245,3.153735999054277
Leeming,711187.3786407767,712.9902912621359,208.2135922330097,31.46078431372549,3518.188228789539,1055.062080292307,3.539432093813495
Beechboro,385165.4205607477,704.2056074766355,128.18691588785046,31.601941747572816,3113.8059262594606,565.9571518197366,5.81276778771608
Ridgewood,405097.311827957,529.0967741935484,172.9731182795699,10.333333333333334,2430.970717646754,819.5470381248787,3.126675420283922
South Perth,1204364.5833333333,876.625,202.75,48.979166666666664,6033.213607649764,2651.0412046015467,6.503325276536202
Bedford,660490.0574712644,578.528735632184,165.70114942528735,40.91860465116279,4336.808665783848,1279.8965279831089,3.846483388646845
Madeley,588321.9030303031,534.4666666666667,209.75757575757575,11.693251533742332,2904.1832232602296,1147.3069285736015,2.6379253725910146
Currambine,543432.584269663,666.1348314606741,186.57303370786516,19.662576687116566,3007.791191661901,992.5178314635317,4.096197678256525
Singleton,456052.2375,759.9,191.875,18.986754966887418,2510.8377789732576,631.029263788252,4.4158572482385425
Girrawheen,318997.87234042556,714.6489361702128,112.64893617021276,41.68478260869565,2974.592769421042,519.6613412066217,6.908447644971068
Ocean Reef,794405.0458715596,751.4311926605504,234.6880733944954,26.31,3481.3609284232534,1082.364569158281,3.363690121286354
Mullaloo,741376.8656716418,732.0149253731344,191.1865671641791,31.721804511278197,4059.4377560484077,1073.9359621649344,4.1777772433209215
Winthrop,921266.7228915662,746.6385542168674,246.85542168674698,26.328767123287673,3805.0823785196535,1244.4330548657865,3.1611735332744795
Carmel,819761.9047619047,20369.95238095238,230.14285714285714,33.5,3648.701058010937,217.61566621661174,85.02967144490802
Bennett Springs,495591.7251184834,803.1516587677725,178.0995260663507,12.7,2852.156148112232,880.151895081881,4.711012089329917
Boya,572070.2127659575,2079.595744680851,164.7872340425532,38.733333333333334,3598.377485848366,306.2250779861389,13.462329350280397
Morley,462455.22388059704,613.7313432835821,147.8507462686567,40.015625,3280.8589656479962,931.4970615721977,4.485818985739862
Westminster,367070.0,429.16,128.22,26.448979591836736,2965.0444266517193,1055.8066293406457,3.553952051479003
Yokine,625320.4629629629,427.14814814814815,163.94444444444446,24.607843137254903,3878.430641986725,1699.129624906516,2.726519995867017
Gosnells,299551.724137931,699.183908045977,132.9655172413793,32.7037037037037,2323.8319268754017,485.6659854675919,5.505186488989906
Wungong,765041.1111111111,13138.111111111111,217.88888888888889,33.333333333333336,3637.7249982374965,59.83938303802923,62.937984272841646
Banksia Grove,382368.0722891566,491.17469879518075,161.33734939759037,9.153846153846153,2443.020465936152,869.22600337759,3.084463501718224
Padbury,546701.052631579,731.1789473684211,149.22105263157894,37.42168674698795,3816.0298821214037,797.5166555541788,5.410528863136799
North Lake,690833.3333333334,692.6166666666667,215.88333333333333,23.681818181818183,3327.3774688367785,1031.7824912681488,3.5024431757289416
Camillo,300934.6153846154,682.0923076923077,126.20769230769231,34.7479674796748,2466.150221389818,497.1874849818171,5.656566883274128
Bibra Lake,544325.8507462686,623.776119402985,175.53731343283582,24.934426229508198,3270.4821337635562,1026.6548550526084,3.6636158267040404
Greenwood,512792.3728813559,681.8983050847457,157.0084745762712,41.15652173913043,3423.1214627330482,912.293095407678,4.526737552555957
Mariginiup,1179500.0,18896.5,259.8421052631579,23.485714285714284,4952.248282566673,88.6202928132072,84.14818391252325
